('bzmore', 0)
('cdrecord', 0)
('chcon', 0)
('chfn', 0)
('chgrp', 0)
('chpasswd', 0)
('chroot', 0)
('chsh', 0)
('cksum', 0)
('clock', 0)
('clockdiff', 0)
('cmp', 0)
('col', 0)
('colrm', 0)
('compress', 0)
('consoletype', 0)
('convertquota', 0)
('cpio', 0)
('csplit', 0)
('cu', 0)
('cupsdisable', 0)
('cupsenable', 0)
('declare', 0)
('depmod', 0)
('dhcpd', 0)
('dhcrelay', 0)
('diff3', 0)
('diffstat', 0)
('dig', 0)
('dircolors', 0)
('disown', 0)
('dnf', 0)
('dnsdomainname', 0)
('domainname', 0)
('dos2unix', 0)
('dpkg', 0)
('dris', 0)
('e2fsck', 0)
('e2label', 0)
('ed', 0)
('edquota', 0)
('eject', 0)
('elinks', 0)
('elm', 0)
('emacs', 0)
('expand', 0)
('exportfs', 0)
('expr', 0)
('false', 0)
('fc', 0)
('fgrep', 0)		# grep 不支持正则
('findfs', 0)
('finger', 0)
('fishshell', 0)
('fmt', 0)
('fold', 0)
('fping', 0)
('fsck', 0)
('ftpcount', 0)
('ftpshut', 0)
('ftptop', 0)
('ftpwho', 0)
('gcov', 0)
('gdb', 0)
('get_module', 0)
('getsebool', 0)
('gpasswd', 0)
('gpm', 0)
('groupdel', 0)
('groupmod', 0)
('groups', 0)
('grpck', 0)
('grpconv', 0)
('grpunconv', 0)
('grub', 0)
('gzexe', 0)
('halt', 0)
('hdparm', 0)
('hexdump', 0)
('hostid', 0)
('hping3', 0)
('htdigest', 0)
('iconv', 0)
('ifcfg', 0)
('ifdown', 0)
('ifstat', 0)
('iftop', 0)
('ifup', 0)
('indent', 0)
('inotifywait', 0)
('insmod', 0)
('ip6tables', 0)
('ipcalc', 0)
('ipcrm', 0)
('ipcs', 0)
('iperf', 0)
('iptraf', 0)
('iptstate', 0)
('ispell', 0)
('jed', 0)
('joe', 0)
('jwhois', 0)
('kernelversion', 0)
('kexec', 0)
('lastb', 0)
('ldconfig', 0)
('let', 0)
('lftp', 0)
('lftpget', 0)
('lha', 0)
('lilo', 0)
('lnstat', 0)
('logger', 0)
('logname', 0)
('logsave', 0)
('logwatch', 0)
('look', 0)
('losetup', 0)
('lp', 0)
('lpadmin', 0)
('lpc', 0)
('lpq', 0)
('lpr', 0)
('lprm', 0)
('lpstat', 0)
('lsusb', 0)
('ltrace', 0)
('lvdisplay', 0)
('lvreduce', 0)
('lvresize', 0)
('lvscan', 0)
('lynx', 0)
('mailq', 0)
('mailstat', 0)
('mapfile', 0)
('mii', 0)
('mkbootdisk', 0)
('mke2fs', 0)
('mkfs', 0)
('mkinitrd', 0)
('mkisofs', 0)
('mknod', 0)
('mkswap', 0)
('mktemp', 0)
('modprobe', 0)
('mpstat', 0)
('mtools', 0)
('mysqlimport', 0)
('mysqlshow', 0)
('nano', 0)
('ncftp', 0)
('nethogs', 0)
('newusers', 0)
('nfsstat', 0)
('ngrep', 0)
('nice', 0)
('nisdomainname', 0)
('nl', 0)
('nm', 0)
('nmap', 0)
('nmcli', 0)
('nologin', 0)
('nproc', 0)
('nslookup', 0)
('ntsysv', 0)
('objdump', 0)
('od', 0)
('paste', 0)
('pfctl', 0)
('pgrep', 0)
('pico', 0)
('pigz', 0)
('pmap', 0)
('popd', 0)
('poweroff', 0)
('ppp', 0)
('pr', 0)
('protoize', 0)
('pssh', 0)
('pushd', 0)
('pvchange', 0)
('pvck', 0)
('pvremove', 0)
('pvscan', 0)
('pwck', 0)
('pwconv', 0)
('pwunconv', 0)
('quotacheck', 0)
('quotaoff', 0)
('quotaon', 0)
('rcconf', 0)
('rcp', 0)
('readelf', 0)
('readonly', 0)
('reject', 0)
('rename', 0)
('renice', 0)
('repquota', 0)
('resize', 0)
('restore', 0)
('restorecon', 0)
('return', 0)
('rev', 0)
('rexec', 0)
('rlogin', 0)
('rmmod', 0)
('rpm2cpio', 0)
('rpmdb', 0)
('rpmquery', 0)
('rpmsign', 0)
('rpmverify', 0)
('rsh', 0)
('runlevel', 0)
('script', 0)
('scriptreplay', 0)
('seinfo', 0)
('semanage', 0)
('sendmail', 0)
('sesearch', 0)
('setfacl', 0)
('setpci', 0)
('setsebool', 0)
('shift', 0)
('shopt', 0)
('showmount', 0)
('shuf', 0)
('skill', 0)
('slabtop', 0)
('slocate', 0)
('smbclient', 0)
('smbpasswd', 0)
('speedtest', 0)
('spell', 0)
('squid', 0)
('squidclient', 0)
('startx', 0)
('strace', 0)
('stty', 0)
('sum', 0)
('suspend', 0)
('swapon', 0)
('systool', 0)
('tac', 0)
('talk', 0)
('tcpreplay', 0)
('telint', 0)
('tempfile', 0)
('tftp', 0)
('times', 0)
('tload', 0)
('tmux', 0)
('tput', 0)
('trap', 0)
('tty', 0)
('type', 0)
('umask', 0)
('umount', 0)
('unalias', 0)
('unarj', 0)
('uncompress', 0)
('unexpand', 0)
('unlink', 0)
('unprotoize', 0)
('unset', 0)
('usernetctl', 0)
('users', 0)
('uucico', 0)
('uupick', 0)
('uuto', 0)
('vdfuse', 0)
('vgchange', 0)
('vgconvert', 0)
('vgreduce', 0)
('vgremove', 0)
('vgrename', 0)
('vgscan', 0)
('volname', 0)
('wait', 0)
('wall', 0)
('watch', 0)
('whatis', 0)
('write', 0)
('xauth', 0)
('xclip', 0)
('xhost', 0)
('xinit', 0)
('xlsatoms', 0)
('xlsclients', 0)
('xlsfonts', 0)
('xset', 0)
('xz', 0)
('yes', 0)
('ypdomainname', 0)
('zcat', 0)
('zfore', 0)
('zipinfo', 0)
('zipsplit', 0)
('znew', 0)
('mkfs.xfs', 0)
('mkfs.ext2', 0)
('mkfs.ext3', 0)
('mkfs.ext4', 0)
('fc-list', 0)
('ffmpeg', 0)
('gluster', 0)
('hadoop', 0)
('impdp', 0)
('jar', 0)
('java', 0)
('kubectl', 0)
('multipath', 0)
('pip', 0)
('python', 0)
('rz', 0)
('sqlplus', 0)
('srvctl', 0)
('supervisorctl', 0)
('sz', 0)
